"","X","Ein","Koe","Rau","Sac","Ste","Tru","Unt","Ver","Wah","Wid","person"
"109","Wah",5,5,5,5,2,5,5,5,0,4,11
"110","Wid",4,3,4,3,5,4,3,5,4,0,11
"111","Ein",0,5,1,2,3,5,5,5,5,5,12
"112","Koe",5,0,4,3,5,5,3,3,5,5,12
"113","Rau",1,4,0,3,2,5,5,5,5,5,12
"114","Sac",2,3,3,0,5,3,5,5,5,3,12
"115","Ste",3,5,2,5,0,5,5,5,4,4,12
"116","Tru",5,5,5,3,5,0,4,5,5,5,12
"117","Unt",5,3,5,5,5,4,0,5,5,4,12
"118","Ver",5,3,5,5,5,5,5,0,5,5,12
"119","Wah",5,5,5,5,4,5,5,5,0,4,12
"120","Wid",5,5,5,3,4,5,4,5,4,0,12
"121","Ein",0,5,2,3,4,5,5,5,5,4,13
"122","Koe",5,0,4,5,5,4,3,4,5,5,13
"123","Rau",2,4,0,4,5,4,5,5,5,5,13
"124","Sac",3,5,4,0,5,5,5,5,3,4,13
"125","Ste",4,5,5,5,0,5,5,5,2,5,13
"126","Tru",5,4,4,5,5,0,4,5,5,5,13
"127","Unt",5,3,5,5,5,4,0,4,5,5,13
"128","Ver",5,4,5,5,5,5,4,0,5,5,13
"129","Wah",5,5,5,3,2,5,5,5,0,5,13
"130","Wid",4,5,5,4,5,5,5,5,5,0,13
"131","Ein",0,4,1,3,4,4,5,5,5,5,14
"132","Koe",4,0,4,4,5,3,2,2,5,4,14
"133","Rau",1,4,0,3,2,5,5,5,5,5,14
"134","Sac",3,4,3,0,4,5,5,5,5,4,14
"135","Ste",4,5,2,4,0,5,5,5,3,4,14
"136","Tru",4,3,5,5,5,0,3,4,5,5,14
"137","Unt",5,2,5,5,5,3,0,4,5,5,14
"138","Ver",5,2,5,5,5,4,4,0,5,5,14
"139","Wah",5,5,5,5,3,5,5,5,0,4,14
"140","Wid",5,4,5,4,4,5,5,5,4,0,14
"141","Ein",0,4,1,2,1,5,4,5,4,3,15
"142","Koe",4,0,3,4,5,1,1,1,5,2,15
"143","Rau",1,3,0,1,2,4,4,5,5,3,15
"144","Sac",2,4,1,0,5,3,5,4,4,3,15
"145","Ste",1,5,2,5,0,5,4,5,2,4,15
"146","Tru",5,1,4,3,5,0,2,2,5,4,15
"147","Unt",4,1,4,5,4,2,0,3,5,4,15
"148","Ver",5,1,5,4,5,2,3,0,5,5,15
"149","Wah",4,5,5,4,2,5,5,5,0,2,15
"150","Wid",3,2,3,3,4,4,4,5,2,0,15
"151","Ein",0,5,2,2,3,5,5,5,5,5,16
"152","Koe",5,0,3,4,5,4,2,3,5,3,16
"153","Rau",2,3,0,2,2,5,5,3,5,5,16
"154","Sac",2,4,2,0,4,4,5,5,5,3,16
"155","Ste",3,5,2,4,0,4,4,5,4,4,16
"156","Tru",5,4,5,4,4,0,4,4,5,5,16
"157","Unt",5,2,5,5,4,4,0,4,5,5,16
"158","Ver",5,3,3,5,5,4,4,0,5,4,16
"159","Wah",5,5,5,5,4,5,5,5,0,5,16
"160","Wid",5,3,5,3,4,5,5,4,5,0,16
"161","Ein",0,4,2,3,4,5,5,5,5,5,17
"162","Koe",4,0,5,4,5,5,4,2,5,3,17
"163","Rau",2,5,0,3,4,5,5,5,5,5,17
"164","Sac",3,4,3,0,5,5,5,5,5,5,17
"165","Ste",4,5,4,5,0,5,5,5,5,4,17
"166","Tru",5,5,5,5,5,0,5,5,5,5,17
"167","Unt",5,4,5,5,5,5,0,5,5,5,17
"168","Ver",5,2,5,5,5,5,5,0,5,5,17
"169","Wah",5,5,5,5,5,5,5,5,0,5,17
"170","Wid",5,3,5,5,4,5,5,5,5,0,17
"171","Ein",0,4,3,3,4,4,5,5,5,5,18
"172","Koe",4,0,4,5,5,3,3,2,5,4,18
"173","Rau",3,4,0,4,3,5,5,4,5,5,18
"174","Sac",3,5,4,0,4,4,5,5,5,4,18
"175","Ste",4,5,3,4,0,5,5,5,3,4,18
"176","Tru",4,3,5,4,5,0,4,5,5,5,18
"177","Unt",5,3,5,5,5,4,0,4,5,5,18
"178","Ver",5,2,4,5,5,5,4,0,5,5,18
"179","Wah",5,5,5,5,3,5,5,5,0,4,18
"180","Wid",5,4,5,4,4,5,5,5,4,0,18
"181","Ein",0,3,1,2,4,5,4,4,5,3,19
"182","Koe",3,0,3,4,5,2,1,2,5,2,19
"183","Rau",1,3,0,2,3,4,4,4,5,4,19
"184","Sac",2,4,2,0,5,2,5,4,5,4,19
"185","Ste",4,5,3,5,0,5,5,5,2,5,19
"186","Tru",5,2,4,2,5,0,3,4,5,5,19
"187","Unt",4,1,4,5,5,3,0,4,5,4,19
"188","Ver",4,2,4,4,5,4,4,0,5,4,19
"189","Wah",5,5,5,5,2,5,5,5,0,4,19
"190","Wid",3,2,4,4,5,5,4,4,4,0,19
"191","Ein",0,3,2,2,3,3,4,4,4,3,20
"192","Koe",3,0,2,4,4,2,3,2,4,3,20
"193","Rau",2,2,0,2,3,4,3,3,4,3,20
